89278,-128.05,-74.22,909.85,-61,-214,46,129.05,189.48,-327.84
89287,-130.07,-75.07,910.10,-53,-114,46,129.05,189.48,-327.84
89297,-125.24,-74.65,910.89,-122,107,130,136.29,193.10,-320.90
89306,-127.26,-74.95,912.35,61,290,-53,136.29,193.10,-320.90
89315,-129.88,-76.42,909.06,0,259,46,136.29,193.10,-320.90
89324,-128.11,-74.71,907.78,23,122,99,136.29,193.10,-320.90
89333,-125.85,-74.16,913.21,-53,-23,130,136.29,193.10,-320.90
89342,-126.28,-75.50,911.99,-168,-84,46,136.29,193.10,-320.90
89352,-126.71,-72.27,908.57,-122,-99,175,136.29,193.10,-320.90
89361,-127.44,-76.29,909.61,-53,61,53,136.29,193.10,-320.90
89369,-125.55,-76.11,909.42,53,38,84,136.29,193.10,-320.90
89378,-126.53,-75.20,913.02,-76,206,31,136.29,193.10,-320.90
89388,-128.30,-77.76,908.08,53,92,23,136.29,193.10,-320.90
89397,-127.75,-76.42,912.48,8,61,61,136.29,193.10,-320.90
89406,-129.15,-73.85,907.96,46,-15,8,136.29,193.10,-320.90
89416,-126.40,-75.62,907.35,23,-38,23,132.67,193.10,-317.44
89425,-129.15,-75.32,910.10,-107,53,114,132.67,193.10,-317.44
89434,-125.98,-75.87,912.23,-23,153,69,132.67,193.10,-317.44
89443,-125.73,-74.71,911.25,15,168,46,132.67,193.10,-317.44
89452,-126.16,-76.17,912.48,-23,23,46,132.67,193.10,-317.44
89461,-126.65,-77.15,911.25,15,8,23,132.67,193.10,-317.44
89470,-127.99,-77.88,909.06,0,-46,46,132.67,193.10,-317.44
89480,-128.05,-74.40,909.00,53,61,92,132.67,193.10,-317.44
89489,-128.91,-75.81,908.87,69,-8,38,132.67,193.10,-317.44
89497,-127.50,-76.23,909.67,0,122,69,132.67,193.10,-317.44
89506,-127.81,-76.84,909.97,0,137,84,132.67,193.10,-317.44
89516,-127.50,-75.13,912.11,114,160,53,132.67,193.10,-317.44
89525,-130.74,-77.09,910.10,46,229,0,132.67,193.10,-317.44
89534,-128.78,-74.65,910.16,-15,31,76,132.67,193.10,-317.44
89544,-127.14,-75.01,911.68,-31,31,99,136.29,189.48,-320.90
89553,-127.69,-74.04,911.93,-8,61,53,136.29,189.48,-320.90
89562,-127.38,-75.50,913.39,46,92,84,136.29,189.48,-320.90
89571,-123.47,-73.24,913.88,-8,38,31,136.29,189.48,-320.90
89580,-127.44,-76.05,910.34,53,-61,92,136.29,189.48,-320.90
89589,-126.34,-73.79,911.56,15,-23,15,136.29,189.48,-320.90
89598,-126.28,-74.28,909.85,8,145,8,136.29,189.48,-320.90
89608,-127.20,-75.32,909.61,46,31,99,136.29,189.48,-320.90
89617,-128.17,-76.66,908.75,15,15,53,136.29,189.48,-320.90
89625,-126.53,-75.13,909.06,0,84,84,136.29,189.48,-320.90
89634,-127.69,-77.09,911.62,-76,46,61,136.29,189.48,-320.90
89644,-128.11,-76.90,906.49,-69,99,53,136.29,189.48,-320.90
89653,-128.54,-78.00,909.61,76,-122,114,136.29,189.48,-320.90
89663,-130.62,-78.31,907.96,76,-76,92,136.29,193.10,-345.18
89672,-127.44,-74.46,913.82,0,15,23,136.29,193.10,-345.18
89680,-127.26,-74.52,911.19,-53,244,-69,136.29,193.10,-345.18
89690,-127.14,-74.46,910.64,-69,229,23,136.29,193.10,-345.18
89699,-126.34,-75.62,910.89,38,92,69,136.29,193.10,-345.18
89708,-127.26,-77.21,906.07,31,-76,38,136.29,193.10,-345.18
89717,-125.92,-74.16,910.46,31,-114,8,136.29,193.10,-345.18
89726,-131.23,-77.33,909.36,-114,-8,23,136.29,193.10,-345.18
89736,-127.75,-75.13,911.38,-46,69,8,136.29,193.10,-345.18
89745,-127.99,-75.38,909.73,23,305,61,136.29,193.10,-345.18
89753,-128.17,-76.66,909.79,69,259,38,136.29,193.10,-345.18
89762,-127.50,-75.07,908.63,61,206,69,136.29,193.10,-345.18
89772,-124.63,-75.20,912.60,-69,46,31,136.29,193.10,-345.18
89781,-125.43,-77.03,910.95,0,-183,31,136.29,193.10,-345.18
89791,-127.62,-76.35,913.09,-46,-275,114,132.67,178.62,-331.31
89800,-125.92,-73.61,913.76,-38,84,15,132.67,178.62,-331.31
89809,-125.98,-73.00,913.88,15,427,61,132.67,178.62,-331.31
89818,-125.85,-74.95,910.71,31,351,61,132.67,178.62,-331.31
89827,-128.48,-76.35,909.61,23,214,31,132.67,178.62,-331.31
89836,-126.04,-75.38,913.27,38,-46,84,132.67,178.62,-331.31
89845,-126.22,-75.81,908.63,23,-122,53,132.67,178.62,-331.31
89854,-126.10,-74.71,907.71,-8,-130,53,132.67,178.62,-331.31
89864,-127.32,-75.32,910.22,-23,53,92,132.67,178.62,-331.31
89873,-126.59,-76.60,910.58,46,252,-15,132.67,178.62,-331.31
89882,-129.70,-78.86,907.71,76,328,31,132.67,178.62,-331.31
89890,-126.83,-75.38,909.97,38,191,0,132.67,178.62,-331.31
89900,-125.79,-75.20,909.36,0,53,31,132.67,178.62,-331.31
89910,-127.01,-74.95,911.93,-8,-76,76,136.29,196.72,-327.84
89919,-125.61,-75.99,913.15,107,8,130,136.29,196.72,-327.84
89928,-128.05,-76.72,910.89,61,23,84,136.29,196.72,-327.84
89937,-127.99,-76.17,912.96,53,168,76,136.29,196.72,-327.84
89946,-127.08,-76.42,911.68,-31,259,92,136.29,196.72,-327.84
89955,-128.85,-76.11,909.67,15,137,53,136.29,196.72,-327.84
89964,-125.98,-74.28,909.85,-8,69,122,136.29,196.72,-327.84
89973,-126.53,-72.63,910.34,38,-92,69,136.29,196.72,-327.84
89982,-127.56,-73.55,912.41,38,-114,-38,136.29,196.72,-327.84
89992,-126.40,-73.73,909.73,46,-46,92,136.29,196.72,-327.84
90001,-128.30,-72.81,909.61,-31,99,99,136.29,196.72,-327.84
90010,-125.61,-75.07,911.07,-76,160,-31,136.29,196.72,-327.84
90018,-127.56,-75.56,910.28,46,259,168,136.29,196.72,-327.84
90029,-125.98,-77.33,907.84,15,0,137,125.43,193.10,-327.84
90038,-128.97,-77.76,909.30,130,-76,92,125.43,193.10,-327.84
90047,-129.58,-77.27,909.42,31,-46,23,125.43,193.10,-327.84
90056,-127.32,-74.95,911.25,-61,0,92,125.43,193.10,-327.84
90065,-129.15,-78.00,910.10,-15,191,69,125.43,193.10,-327.84
90074,-126.65,-75.99,914.86,69,175,92,125.43,193.10,-327.84
90083,-128.97,-77.45,910.89,46,229,23,125.43,193.10,-327.84
90092,-125.37,-75.87,910.58,38,160,84,125.43,193.10,-327.84
90101,-127.56,-76.23,908.39,15,-15,38,125.43,193.10,-327.84
90110,-128.30,-75.07,911.93,0,-61,107,125.43,193.10,-327.84
90120,-126.04,-76.97,911.62,0,46,38,125.43,193.10,-327.84
90128,-128.85,-75.93,905.21,-46,122,122,125.43,193.10,-327.84
90137,-125.49,-75.68,909.06,31,168,122,125.43,193.10,-327.84
90146,-126.59,-77.51,907.84,8,137,-8,125.43,193.10,-327.84
90157,-129.21,-79.22,906.98,38,168,76,120.00,187.67,-329.57
90166,-127.08,-77.64,911.25,-8,168,137,120.00,187.67,-329.57
90175,-127.50,-74.34,912.11,-23,107,76,120.00,187.67,-329.57
90184,-126.46,-75.50,908.75,76,76,84,120.00,187.67,-329.57
90192,-126.71,-75.50,910.22,38,23,122,120.00,187.67,-329.57
90202,-125.55,-74.77,910.64,38,175,-15,120.00,187.67,-329.57
90211,-126.53,-75.32,909.61,-8,46,15,120.00,187.67,-329.57
90220,-128.72,-76.72,910.10,-53,153,53,120.00,187.67,-329.57
90229,-127.81,-72.20,908.57,0,23,61,120.00,187.67,-329.57
90238,-126.34,-72.39,908.81,-145,130,23,120.00,187.67,-329.57
90247,-127.81,-74.34,909.73,-76,137,31,120.00,187.67,-329.57
90256,-125.61,-73.67,909.73,-31,-23,99,120.00,187.67,-329.57
90265,-127.01,-74.83,912.84,-38,76,76,120.00,187.67,-329.57
90275,-128.85,-76.42,909.24,-15,23,15,118.19,182.24,-345.18
90285,-130.07,-75.50,907.78,153,84,84,118.19,182.24,-345.18
90294,-127.38,-74.46,915.04,38,175,69,118.19,182.24,-345.18
90303,-125.12,-75.38,915.89,31,198,46,118.19,182.24,-345.18
90311,-127.93,-73.67,913.21,-53,122,153,118.19,182.24,-345.18
90320,-128.17,-75.62,908.26,-15,244,8,118.19,182.24,-345.18
90330,-127.93,-75.93,907.84,-31,8,53,118.19,182.24,-345.18
90339,-128.42,-76.66,912.17,-8,-38,76,118.19,182.24,-345.18
90348,-130.00,-78.37,911.38,-15,8,53,118.19,182.24,-345.18
90357,-126.77,-73.73,912.48,-76,114,61,118.19,182.24,-345.18
90366,-128.17,-74.83,909.67,15,145,130,118.19,182.24,-345.18
90375,-127.56,-76.35,912.41,61,168,61,118.19,182.24,-345.18
90384,-127.81,-74.46,910.83,8,38,107,118.19,182.24,-345.18
90393,-127.81,-76.42,912.66,46,23,61,118.19,182.24,-345.18
